Queries, Number of Overlapping Results, Percent Overlap, Spearman Coefficient
Query 1,4,40.0,-1.2000000000000002
Query 2,4,40.0,-0.10000000000000009
Query 3,2,20.0,-72.0
Query 4,1,10.0,0
Query 5,4,40.0,-3.5999999999999996
Query 6,1,10.0,0
Query 7,2,20.0,-7.0
Query 8,0,0.0,0
Query 9,4,40.0,-1.9
Query 10,0,0.0,0
Query 11,4,40.0,0.09999999999999998
Query 12,2,20.0,0.0
Query 13,2,20.0,-49.0
Query 14,1,10.0,0
Query 15,1,10.0,0
Query 16,5,50.0,0.050000000000000044
Query 17,3,30.0,-5.5
Query 18,0,0.0,0
Query 19,5,50.0,-2.0
Query 20,4,40.0,-1.0
Query 21,2,20.0,-39.0
Query 22,0,0.0,0
Query 23,4,40.0,-6.3
Query 24,4,40.0,-4.0
Query 25,3,30.0,-5.75
Query 26,2,20.0,-3.0
Query 27,3,30.0,-11.5
Query 28,3,30.0,-15.25
Query 29,1,10.0,1
Query 30,1,10.0,0
Query 31,4,40.0,-2.0
Query 32,6,60.0,-1.1428571428571428
Query 33,1,10.0,0
Query 34,6,60.0,-1.5428571428571427
Query 35,0,0.0,0
Query 36,1,10.0,0
Query 37,2,20.0,-25.0
Query 38,0,0.0,0
Query 39,3,30.0,-2.5
Query 40,4,40.0,-0.7
Query 41,3,30.0,-21.0
Query 42,3,30.0,0.25
Query 43,2,20.0,-39.0
Query 44,4,40.0,-1.2000000000000002
Query 45,2,20.0,-24.0
Query 46,4,40.0,0.09999999999999998
Query 47,3,30.0,-3.5
Query 48,6,60.0,0.3142857142857143
Query 49,3,30.0,-3.5
Query 50,6,60.0,-0.9714285714285715
Query 51,1,10.0,1
Query 52,4,40.0,-1.0
Query 53,6,60.0,0.6571428571428571
Query 54,3,30.0,-1.75
Query 55,3,30.0,-1.0
Query 56,4,40.0,0.09999999999999998
Query 57,4,40.0,-5.3
Query 58,2,20.0,-72.0
Query 59,2,20.0,-3.0
Query 60,1,10.0,0
Query 61,2,20.0,-9.0
Query 62,4,40.0,-2.8
Query 63,6,60.0,0.6
Query 64,6,60.0,-1.057142857142857
Query 65,5,50.0,-3.0999999999999996
Query 66,2,20.0,-16.0
Query 67,4,40.0,-4.5
Query 68,5,50.0,-3.55
Query 69,1,10.0,0
Query 70,1,10.0,0
Query 71,5,50.0,0.6
Query 72,0,0.0,0
Query 73,1,10.0,0
Query 74,3,30.0,-9.25
Query 75,3,30.0,-3.25
Query 76,2,20.0,-52.0
Query 77,4,40.0,-0.3999999999999999
Query 78,1,10.0,1
Query 79,4,40.0,-10.0
Query 80,6,60.0,-0.9714285714285715
Query 81,3,30.0,-0.25
Query 82,3,30.0,-0.25
Query 83,2,20.0,-3.0
Query 84,2,20.0,-19.0
Query 85,0,0.0,0
Query 86,2,20.0,-48.0
Query 87,1,10.0,0
Query 88,2,20.0,-19.0
Query 89,2,20.0,-7.0
Query 90,5,50.0,0.0
Query 91,1,10.0,0
Query 92,3,30.0,-6.5
Query 93,4,40.0,-6.7
Query 94,4,40.0,-0.8
Query 95,5,50.0,-0.55
Query 96,2,20.0,-8.0
Query 97,3,30.0,-8.5
Query 98,2,20.0,-16.0
Query 99,3,30.0,-19.25
Query 100,2,20.0,-3.0
Averages,2.81,28.1,-7.141142857142856
